airport,city
JFK,"New York, NY"
MSP,"Minneapolis, MN"
RIC,"Richmond, VA"
DTW,"Detroit, MI"
JAX,"Jacksonville, FL"
LGA,"New York, NY"
CHS,"Charleston, SC"
ITH,"Ithaca/Cortland, NY"
CLE,"Cleveland, OH"
GRR,"Grand Rapids, MI"
CMH,"Columbus, OH"
ATL,"Atlanta, GA"
TLH,"Tallahassee, FL"
CLT,"Charlotte, NC"
PVD,"Providence, RI"
MIA,"Miami, FL"
RDU,"Raleigh/Durham, NC"
BTV,"Burlington, VT"
STL,"St. Louis, MO"
SAV,"Savannah, GA"
BDL,"Hartford, CT"
IND,"Indianapolis, IN"
IAD,"Washington, DC"
PHL,"Philadelphia, PA"
DHN,"Dothan, AL"
BGR,"Bangor, ME"
EYW,"Key West, FL"
TYS,"Knoxville, TN"
GTR,"Columbus, MS"
PNS,"Pensacola, FL"
ILM,"Wilmington, NC"
MCI,"Kansas City, MO"
FAY,"Fayetteville, NC"
SYR,"Syracuse, NY"
TUL,"Tulsa, OK"
MLU,"Monroe, LA"
RST,"Rochester, MN"
MLI,"Moline, IL"
DAY,"Dayton, OH"
ROC,"Rochester, NY"
LEX,"Lexington, KY"
AEX,"Alexandria, LA"
BNA,"Nashville, TN"
MDT,"Harrisburg, PA"
MYR,"Myrtle Beach, SC"
MQT,"Marquette, MI"
DSM,"Des Moines, IA"
OAJ,"Jacksonville/Camp Lejeune, NC"
CHO,"Charlottesville, VA"
BHM,"Birmingham, AL"
ICT,"Wichita, KS"
SDF,"Louisville, KY"
ATW,"Appleton, WI"
PWM,"Portland, ME"
JAN,"Jackson/Vicksburg, MS"
CHA,"Chattanooga, TN"
CWA,"Mosinee, WI"
OMA,"Omaha, NE"
MSN,"Madison, WI"
CRW,"Charleston/Dunbar, WV"
TRI,"Bristol/Johnson City/Kingsport, TN"
HPN,"White Plains, NY"
LFT,"Lafayette, LA"
CID,"Cedar Rapids/Iowa City, IA"
LIT,"Little Rock, AR"
CVG,"Cincinnati, OH"
MEM,"Memphis, TN"
ROA,"Roanoke, VA"
GRB,"Green Bay, WI"
GSP,"Greer, SC"
MOB,"Mobile, AL"
SGF,"Springfield, MO"
BTR,"Baton Rouge, LA"
ALB,"Albany, NY"
XNA,"Fayetteville, AR"
GFK,"Grand Forks, ND"
AVL,"Asheville, NC"
HSV,"Huntsville, AL"
FLL,"Fort Lauderdale, FL"
GSO,"Greensboro/High Point, NC"
ABE,"Allentown/Bethlehem/Easton, PA"
ORF,"Norfolk, VA"
VLD,"Valdosta, GA"
BUF,"Buffalo, NY"
LAN,"Lansing, MI"
AZO,"Kalamazoo, MI"
AGS,"Augusta, GA"
BOS,"Boston, MA"
MKE,"Milwaukee, WI"
BWI,"Baltimore, MD"
BMI,"Bloomington/Normal, IL"
BGM,"Binghamton, NY"
CAE,"Columbia, SC"
RSW,"Fort Myers, FL"
MGM,"Montgomery, AL"
DFW,"Dallas/Fort Worth, TX"
LAS,"Las Vegas, NV"
AUS,"Austin, TX"
PHX,"Phoenix, AZ"
SJC,"San Jose, CA"
HNL,"Honolulu, HI"
TUS,"Tucson, AZ"
AVP,"Scranton/Wilkes-Barre, PA"
LAX,"Los Angeles, CA"
DCA,"Washington, DC"
ORD,"Chicago, IL"
MFE,"Mission/McAllen/Edinburg, TX"
BFL,"Bakersfield, CA"
SLC,"Salt Lake City, UT"
ELP,"El Paso, TX"
BOI,"Boise, ID"
MCO,"Orlando, FL"
AMA,"Amarillo, TX"
OGG,"Kahului, HI"
SJU,"San Juan, PR"
MSY,"New Orleans, LA"
TPA,"Tampa, FL"
STT,"Charlotte Amalie, VI"
EWR,"Newark, NJ"
SMF,"Sacramento, CA"
SFO,"San Francisco, CA"
BUR,"Burbank, CA"
ABQ,"Albuquerque, NM"
PBI,"West Palm Beach/Palm Beach, FL"
PDX,"Portland, OR"
ANC,"Anchorage, AK"
DEN,"Denver, CO"
PIT,"Pittsburgh, PA"
SAT,"San Antonio, TX"
STX,"Christiansted, VI"
FSD,"Sioux Falls, SD"
IAH,"Houston, TX"
RNO,"Reno, NV"
SNA,"Santa Ana, CA"
ONT,"Ontario, CA"
COS,"Colorado Springs, CO"
SRQ,"Sarasota/Bradenton, FL"
ECP,"Panama City, FL"
SEA,"Seattle, WA"
BZN,"Bozeman, MT"
PSP,"Palm Springs, CA"
FAT,"Fresno, CA"
EGE,"Eagle, CO"
EUG,"Eugene, OR"
OKC,"Oklahoma City, OK"
SAN,"San Diego, CA"
GUC,"Gunnison, CO"
HDN,"Hayden, CO"
VPS,"Valparaiso, FL"
MRY,"Monterey, CA"
GEG,"Spokane, WA"
MSO,"Missoula, MT"
SBP,"San Luis Obispo, CA"
MTJ,"Montrose/Delta, CO"
LIH,"Lihue, HI"
SBA,"Santa Barbara, CA"
DAB,"Daytona Beach, FL"
JAC,"Jackson, WY"
KOA,"Kona, HI"
PSC,"Pasco/Kennewick/Richland, WA"
FAI,"Fairbanks, AK"
STS,"Santa Rosa, CA"
OAK,"Oakland, CA"
JNU,"Juneau, AK"
PAE,"Everett, WA"
DAL,"Dallas, TX"
KTN,"Ketchikan, AK"
SIT,"Sitka, AK"
RDM,"Bend/Redmond, OR"
BQN,"Aguadilla, PR"
ORH,"Worcester, MA"
PSE,"Ponce, PR"
MDW,"Chicago, IL"
TVC,"Traverse City, MI"
HOU,"Houston, TX"
HRL,"Harlingen/San Benito, TX"
LGB,"Long Beach, CA"
GPT,"Gulfport/Biloxi, MS"
FAR,"Fargo, ND"
GNV,"Gainesville, FL"
FCA,"Kalispell, MT"
MLB,"Melbourne, FL"
BIS,"Bismarck/Mandan, ND"
BIL,"Billings, MT"
ISP,"Islip, NY"
